sample_n,time_s,trial_n,baseline,target_temp,raw_temperature,smoothed_temperature,phase,transitioned,event,system_state,test_state,test_time_ms
1,0.000331,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,3582
2,0.204005,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,177
3,0.405358,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,360
4,0.60536,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,608
5,0.805344,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,807
6,1.005346,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,989
7,1.20239,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,1186
8,1.401783,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,1382
9,1.605355,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,1562
10,1.80472,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,1810
11,2.005348,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,1990
12,2.200946,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,2157
13,2.404087,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,2402
14,2.60535,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,2588
15,2.805353,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,2783
16,3.005349,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,2965
17,3.205366,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,3161
18,3.404134,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,3358
19,3.605365,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,3565
20,3.805364,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,3799
21,4.005349,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,3995
22,4.205348,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,4192
23,4.40535,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,4356
24,4.605349,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,4586
25,4.801227,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,4766
26,5.005362,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,4963
27,5.205361,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,5209
28,5.405352,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,5406
29,5.605349,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,5573
30,5.805365,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,5803
31,6.005375,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,5998
32,6.205351,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,6197
33,6.405368,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,6394
34,6.603336,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,6590
35,6.804454,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,6786
36,7.004313,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,6998
37,7.205356,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,7191
38,7.401713,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,7371
39,7.605356,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,7603
40,7.804737,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,7799
41,8.005351,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,7997
42,8.20476,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,8177
43,8.405351,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,8357
44,8.605344,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,8573
45,8.804737,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,8798
46,9.00537,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,8977
47,9.205347,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,9176
48,9.402579,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,9358
49,9.605364,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,9553
50,9.805361,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,9802
51,10.004134,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,10001
52,10.204737,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,10182
53,10.405356,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,10362
54,10.605356,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,10558
55,10.801111,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,10755
56,11.00536,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,11003
57,11.205351,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,11199
58,11.405354,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,11396
59,11.605366,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,11578
60,11.805359,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,11808
61,12.001263,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,11992
62,12.203935,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,12190
63,12.400398,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,12356
64,12.60535,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,12604
65,12.805365,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,12784
66,13.005342,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,12966
67,13.200443,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,13150
