sample_n,time_s,trial_n,baseline,target_temp,raw_temperature,smoothed_temperature,phase,transitioned,event,system_state,test_state,test_time_ms
1,0.000422,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,3287
2,0.205457,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,197
3,0.40522,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,378
4,0.605448,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,574
5,0.805463,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,784
6,1.004659,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,966
7,1.205447,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,1214
8,1.405221,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,1381
9,1.603516,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,1613
10,1.802671,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,1793
11,2.005436,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,1991
12,2.205431,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,2172
13,2.405212,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,2369
14,2.604301,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,2614
15,2.805235,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,2781
16,3.005207,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,2962
17,3.205214,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,3193
18,3.401952,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,3427
19,3.605008,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,3554
20,3.805439,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,3803
21,4.005439,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,3998
22,4.203843,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,4196
23,4.405436,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,4377
24,4.605434,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,4576
25,4.805443,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,4757
26,5.005442,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,4986
27,5.205282,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,5165
28,5.405439,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,5363
29,5.604178,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,5609
30,5.805433,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,5805
31,6.00544,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,5986
32,6.205455,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,6168
33,6.405434,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,6351
34,6.605188,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,6586
35,6.801353,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,6766
36,7.005457,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,7013
37,7.202788,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,7196
38,7.405258,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,7377
39,7.605436,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,7576
40,7.805538,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,7756
41,8.005441,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,7985
42,8.205449,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,8166
43,8.404328,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,8414
44,8.601477,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,8611
45,8.805444,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,8810
46,9.005189,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,8993
47,9.201413,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,9208
48,9.405178,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,9389
49,9.60544,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,9570
50,9.80517,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,9818
51,10.005218,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,10014
52,10.205175,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,10212
53,10.400634,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,10392
54,10.605438,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,10575
55,10.800803,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,10794
56,11.00545,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,11003
57,11.205445,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,11202
58,11.405408,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,11381
59,11.605439,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,11568
60,11.805439,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,11812
61,12.005441,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,12009
62,12.205438,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,12189
63,12.405435,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,12369
64,12.60204,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,12600
65,12.805183,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,12796
66,13.001822,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,12991
67,13.205345,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,13171
68,13.404234,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,13354
69,13.605435,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,13602
70,13.805437,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,13784
71,14.005447,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,13978
72,14.205441,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,14210
73,14.405432,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,14377
74,14.605476,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,14559
75,14.805525,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,14754
76,15.005163,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,14989
77,15.20524,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,15180
78,15.405432,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,15365
79,15.605188,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,15559
80,15.805156,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,15753
81,16.005377,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,15987
82,16.205129,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,16214
83,16.402359,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,16397
84,16.605436,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,16594
85,16.800886,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,16787
86,17.005438,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,16983
87,17.20519,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,17178
88,17.404663,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,17397
89,17.603166,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,17578
90,17.805148,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,17774
91,18.005434,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,17991
92,18.20544,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,18170
93,18.405148,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,18367
94,18.605151,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,18601
95,18.805458,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,18781
96,19.005135,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,18984
97,19.20544,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,19192
98,19.405437,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,19375
99,19.604618,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,19556
100,19.801793,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,19802
101,20.00544,1,30.0,46.0,35.0,35.0,baseline,0,,2,1,20001
102,20.205142,1,30.0,46.0,35.75,35.15,baseline,0,,2,1,20167
103,20.401088,1,30.0,46.0,36.79,35.508,baseline,0,,2,1,20397
104,20.604734,1,30.0,46.0,37.61,36.03,ramp_up,1,ramp_up,2,1,20580
105,20.805136,1,30.0,46.0,38.66,36.762,ramp_up,0,,2,1,20813
106,21.003145,1,30.0,46.0,39.4,37.642,ramp_up,0,,2,1,20978
107,21.205438,1,30.0,46.0,40.45,38.582,ramp_up,0,,2,1,21211
108,21.405166,1,30.0,46.0,41.33,39.49,ramp_up,0,,2,1,21406
109,21.601734,1,30.0,46.0,42.21,40.41,ramp_up,0,,2,1,21602
110,21.805139,1,30.0,46.0,43.1,41.298,ramp_up,0,,2,1,21799
111,22.005472,1,30.0,46.0,43.99,42.216,ramp_up,0,,2,1,21997
112,22.205444,1,30.0,46.0,44.87,43.1,ramp_up,0,,2,1,22193
113,22.404183,1,30.0,46.0,45.75,43.984,ramp_up,0,,2,1,22388
114,22.605444,1,30.0,46.0,46.0,44.742,ramp_up,0,,2,1,22569
115,22.805149,1,30.0,46.0,46.0,45.322,ramp_up,0,,2,1,22815
116,23.00392,1,30.0,46.0,46.0,45.724,ramp_up,0,,2,1,22996
117,23.202095,1,30.0,46.0,46.0,45.95,ramp_up,0,,2,1,23164
118,23.405447,1,30.0,46.0,46.0,46.0,hold,1,hold,2,1,23411
119,23.605442,1,30.0,46.0,46.0,46.0,hold,0,,2,1,23577
120,23.805124,1,30.0,46.0,46.0,46.0,hold,0,,2,1,23776
121,24.005437,1,30.0,46.0,46.0,46.0,hold,0,,2,1,23971
122,24.205446,1,30.0,46.0,46.0,46.0,hold,0,,2,1,24217
123,24.401727,1,30.0,46.0,46.0,46.0,hold,0,,2,1,24383
124,24.603545,1,30.0,46.0,46.0,46.0,hold,0,,2,1,24580
125,24.800884,1,30.0,46.0,46.0,46.0,hold,0,,2,1,24810
126,25.005454,1,30.0,46.0,46.0,46.0,hold,0,,2,1,25005
127,25.205435,1,30.0,46.0,46.0,46.0,hold,0,,2,1,25204
128,25.405108,1,30.0,46.0,46.0,46.0,hold,0,,2,1,25402
129,25.605124,1,30.0,46.0,46.0,46.0,hold,0,,2,1,25568
130,25.805128,1,30.0,46.0,46.0,46.0,hold,0,,2,1,25801
131,26.005137,1,30.0,46.0,46.0,46.0,hold,0,,2,1,25967
132,26.205448,1,30.0,46.0,46.0,46.0,hold,0,,2,1,26215
133,26.401983,1,30.0,46.0,46.0,46.0,hold,0,,2,1,26382
134,26.604421,1,30.0,46.0,46.0,46.0,hold,0,,2,1,26564
